Title,Link_film,Rating,Image,Genre,Summary,Budget,Gross_us,Opening_week_rev,Opening_week_date,Gross_world,Runtime,Color,Sound_mix,Aspect_ratio,,
Godzilla,https://www.imdb.com/title/tt0047034/?ref_=watch_tpks_tt_t_25_pd_tp1_pbr_ic,7.5,Godzilla.jpg,"Horror, Sci-Fi","After a dinosaur-like beast - awoken from undersea hibernation by atom bomb testing - ravages Tokyo, a scientist must decide if his similarly dangerous weapon should be used to destroy it.",175000,562711,38030,2004-05-09 00:00:00,562711,96,Black and White,-,2.35 : 1,,
Boy Kills World,https://www.imdb.com/title/tt13923084/?ref_=watch_tpks_tt_t_26_pd_tp1_pbr_ic,6.4,Boy Kills World.jpg,"Action, Crime, Thriller","A fever dream action film that follows Boy, a deaf person with a vibrant imagination. When his family is murdered, he is trained by a mysterious shaman to repress his childish imagination and become an instrument of death.",108388068.2,2626127,1682525,2024-04-28 00:00:00,3139717,111,Color,-,-,,
Rampage,https://www.imdb.com/title/tt2231461/?ref_=watch_tpks_tt_t_27_pd_tp1_pbr_ic,6.1,Rampage.jpg,"Action, Adventure, Sci-Fi","When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",120000000,101028233,35753093,2018-04-15 00:00:00,428128399,107,Color,"Datasat, Dolby Digital, Dolby Atmos, Sonics-DDP, SDDS, Auro 11.1",2.39 : 1,,
War for the Planet of the Apes,https://www.imdb.com/title/tt3450958/?ref_=watch_tpks_tt_t_28_pd_tp1_pbr_ic,7.4,War for the Planet of the Apes.jpg,"Action, Adventure, Drama","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",150000000,146880162,56262929,2017-07-16 00:00:00,490719763,140,Color,"Dolby Atmos, Dolby Digital, Auro 11.1, IMAX 6-Track, Dolby Surround 7.1",2.39 : 1,,
Rise of the Planet of the Apes,https://www.imdb.com/title/tt1318514/?ref_=watch_tpks_tt_t_29_pd_tp1_pbr_ic,7.6,Rise of the Planet of the Apes.jpg,"Action, Drama, Sci-Fi",A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,93000000,176760185,54806191,2011-08-07 00:00:00,481800873,105,Color,"Datasat, Dolby, Dolby Surround 7.1, SDDS",2.35 : 1,,
Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=watch_tpks_tt_t_30_pd_tp1_pbr_ic,8.3,Oppenheimer.jpg,"Biography, Drama, History",The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,100000000,329862540,82455420,2023-07-23 00:00:00,974954311,180,Color,"IMAX 6-Track, Dolby Digital, Datasat, DTS 70 mm",-,,
Pacific Rim,https://www.imdb.com/title/tt1663662/?ref_=watch_tpks_tt_t_31_pd_tp1_pbr_ic,6.9,Pacific Rim.jpg,"Action, Adventure, Sci-Fi","As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",190000000,101802906,37285325,2013-07-14 00:00:00,411002906,131,Color,Dolby Surround 7.1,1.85 : 1,,
Bullet Train,https://www.imdb.com/title/tt12593682/?ref_=watch_tpks_tt_t_32_pd_tp1_pbr_ic,7.3,Bullet Train.jpg,"Action, Comedy, Thriller",Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,85900000,103368602,30030156,2022-08-07 00:00:00,239268602,127,Color,"Dolby Atmos, Auro 11.1, IMAX 6-Track",2.39 : 1,,
Jurassic World,https://www.imdb.com/title/tt0369610/?ref_=watch_tpks_tt_t_33_pd_tp1_pbr_ic,6.9,Jurassic World.jpg,"Action, Adventure, Sci-Fi","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",150000000,653406625,208806270,2015-06-14 00:00:00,1671537444,124,Color,"Dolby Digital, Datasat, Dolby Surround 7.1, SDDS, Auro 11.1, IMAX 6-Track",2.00 : 1,,
Horizon: An American Saga - Chapter 1,https://www.imdb.com/title/tt17505010/?ref_=watch_tpks_tt_t_34_pd_tp1_pbr_ic,7.8,Horizon An American Saga - Chapter 1.jpg,"Drama, Western","Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west.",100000000,148753631.9,47359673,1900-01-01 00:00:00,425309654,180,Color,"Dolby Digital, Dolby Atmos",1.85 : 1,,
Bumblebee,https://www.imdb.com/title/tt4701182/?ref_=watch_tpks_tt_t_35_pd_tp1_pbr_ic,6.7,Bumblebee.jpg,"Action, Adventure, Sci-Fi","On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",135000000,127195589,21654047,2018-12-23 00:00:00,467989645,114,Color,"Dolby Surround 7.1, IMAX 6-Track, Dolby Atmos, Dolby Digital",1.85 : 1,,
Dawn of the Planet of the Apes,https://www.imdb.com/title/tt2103281/?ref_=watch_tpks_tt_t_36_pd_tp1_pbr_ic,7.6,Dawn of the Planet of the Apes.jpg,"Action, Adventure, Drama",The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,170000000,208545589,72611427,2014-07-13 00:00:00,710644566,130,Color,"Dolby Atmos, Datasat, Dolby Surround 7.1",1.85 : 1,,
San Andreas,https://www.imdb.com/title/tt2126355/?ref_=watch_tpks_tt_t_37_pd_tp1_pbr_ic,6.1,San Andreas.jpg,"Action, Adventure, Thriller","In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.",110000000,155190832,54588173,2015-05-31 00:00:00,474609154,114,Color,"Dolby Digital, Datasat, Dolby Atmos",2.39 : 1,,
Avatar: The Way of Water,https://www.imdb.com/title/tt1630029/?ref_=watch_tpks_tt_t_38_pd_tp1_pbr_ic,7.5,Avatar The Way of Water.jpg,"Action, Adventure, Fantasy","Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",350000000,684075767,134100226,2022-12-18 00:00:00,2320250281,192,Color,"Auro 11.1, Dolby Atmos, IMAX 6-Track, Dolby Surround 7.1",-,,
Logan,https://www.imdb.com/title/tt3315342/?ref_=watch_tpks_tt_t_39_pd_tp1_pbr_ic,8.1,Logan.jpg,"Action, Drama, Sci-Fi","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",97000000,226277068,88411916,2017-03-05 00:00:00,619180476,137,Color,"Dolby Atmos, Dolby Digital, Dolby Surround 7.1, SDDS",2.39 : 1,,
The Flash,https://www.imdb.com/title/tt0439572/?ref_=watch_tpks_tt_t_40_pd_tp1_pbr_ic,6.7,The Flash.jpg,"Action, Adventure, Fantasy","Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",200000000,108133313,55043679,2023-06-18 00:00:00,271333313,144,Color,"Dolby Digital, IMAX 6-Track, Dolby Atmos",1.90 : 1,,
The Substance,https://www.imdb.com/title/tt17526714/?ref_=watch_tpks_tt_t_41_pd_tp1_pbr_ic,7.7,The Substance.jpg,"Drama, Horror","A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",108388068.2,148753631.9,47359673,1900-01-01 00:00:00,425309654,140,Color,Dolby Digital,-,,
Jurassic World: Fallen Kingdom,https://www.imdb.com/title/tt4881806/?ref_=watch_tpks_tt_t_42_pd_tp1_pbr_ic,6.1,Jurassic World Fallen Kingdom.jpg,"Action, Adventure, Sci-Fi","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",170000000,417719760,148024610,2018-06-24 00:00:00,1310469037,128,Color,"Dolby Digital, Dolby Atmos, Auro 11.1, Dolby Surround 7.1",2.39 : 1,,
The Lost World: Jurassic Park,https://www.imdb.com/title/tt0119567/?ref_=watch_tpks_tt_t_43_pd_tp1_pbr_ic,6.5,The Lost World Jurassic Park.jpg,"Action, Adventure, Sci-Fi","A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",73000000,229086679,72132785,1997-05-25 00:00:00,618638999,129,Color,"DTS, DTS-Stereo, Dolby Digital, SDDS",-,,
Godzilla: Tokyo S.O.S.,https://www.imdb.com/title/tt0366526/?ref_=watch_tpks_tt_t_44_pd_tp1_pbr_ic,6.5,Godzilla Tokyo SOS.jpg,"Action, Adventure, Fantasy","Mothra and her fairies return to Japan to warn mankind that they must return Kiryu to the sea, for the dead must not be disturbed. However Godzilla has survived to menace Japan leaving Kiryu as the nation's only defense.",108388068.2,148753631.9,47359673,1900-01-01 00:00:00,10724345,91,Color,Dolby Digital EX,2.35 : 1,,
